nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FSTAI00101,774,350,1,Tower,STAI,Lobby Shattuck Street Stairs,Stairway F00101
FSTAI00201,421,260,1,Tower,STAI,Tower Stairway 1,Tower Stairs 1
FSTAI00301,695,697,1,Tower,STAI,Lobby Escalator,Lobby Escalator
WELEV00L01,558,388,1,Tower,ELEV,Elevator L Floor 1,Elevator L1
WELEV00M01,558,738,1,Tower,ELEV,Elevator M Floor 1,Elevator M1
HBATH00102,353,466,2,Tower,BATH,Bathroom 1 Tower Floor 2,Bathroom 0102
HDEPT00102,803,788,2,Tower,DEPT,Endoscopy,Endoscopy
HHALL00102,623,383,2,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
HHALL00202,703,358,2,Tower,HALL,Hallway Connector 2 Floor 2,Hallway H00202
HHALL00302,783,358,2,Tower,HALL,Hallway Connector 3 Floor 2,Hallway H00302
HHALL00402,623,483,2,Tower,HALL,Hallway Connector 4 Floor 2,Hallway H00402
HHALL00502,573,483,2,Tower,HALL,Hallway Connector 5 Floor 2,Hallway H00502
HHALL00602,523,538,2,Tower,HALL,Hallway Connector 6 Floor 2,Hallway H00602
HHALL00702,488,623,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway H00702
HHALL00802,488,688,2,Tower,HALL,Hallway Connector 8 Floor 2,Hallway H00802
HHALL00902,488,738,2,Tower,HALL,Hallway Connector 9 Floor 2,Hallway H00902
HHALL01002,803,738,2,Tower,HALL,Hallway Connector 10 Floor 2,Hallway H01002
HRETL00102,683,318,2,Tower,RETL,Garden Cafe,Garden Cafe
HRETL00202,363,483,2,Tower,RETL,Vending Machine Floor 2?,Vending Machine
HRETL00302,573,538,2,Tower,RETL,Gift Shop Tower Floor 2,Gift Shop
HSTAI00102,808,338,2,Tower,STAI,Stairwell 1 Floor 2,Stairwell 0102
HSTAI00202,443,623,2,Tower,STAI,Stairwell 2 Tower Floor 2,Stairwell 0202
HSTAI00302,538,688,2,Tower,STAI,Escalator 1 Floor 2,Escalator 1 Floor 2
WELEV00L02,553,383,2,Tower,ELEV,Elevator L Floor 2,Elevator L2
WELEV00M02,573,738,2,Tower,ELEV,Elevator M Floor 2,Elevator M2
WHALL00702,488,850,2,Tower,HALL,Hallway Connector 7 Floor 2,Hallway W0702
HBATH00103,533,288,3,Tower,BATH,Bathroom 1 Tower Floor 3,Bathroom 0103
HBATH00203,498,443,3,Tower,BATH,Bathroom 2 Tower Floor 3,Bathroom 0203
HDEPT00103,473,358,3,Tower,DEPT,Dialysis Waiting Room,Dialysis WR
HDEPT00203,438,288,3,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR
HHALL00103,73,113,3,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
HHALL00203,10,443,3,Tower,HALL,Hallway Connector 2 Floor 3,Hallway H00203
HHALL00303,73,443,3,Tower,HALL,Hallway Connector 3 Floor 3,Hallway H00303
HHALL00403,73,748,3,Tower,HALL,Hallway Connector 4 Floor 3,Hallway H00403
HHALL00503,428,748,3,Tower,HALL,Hallway Connector 5 Floor 3,Hallway H00502
HHALL00603,483,383,3,Tower,HALL,Hallway Connector 6 Floor 3,Hallway H00603
HHALL00703,483,358,3,Tower,HALL,Hallway Connector 7 Floor 3,Hallway H00703
HHALL00803,483,323,3,Tower,HALL,Hallway Connector 8 Floor 3,Hallway H00803
HHALL00903,483,278,3,Tower,HALL,Hallway Connector 9 Floor 3,Hallway H00903
HHALL01003,533,278,3,Tower,HALL,Hallway Connector 10 Floor 3,Hallway H01003
HHALL01103,438,278,3,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
HHALL01203,348,278,3,Tower,HALL,Hallway Connector 12 Floor 3,Hallway H01203
HHALL01303,348,488,3,Tower,HALL,Hallway Connector 13 Floor 3,Hallway H01303
HHALL01403,483,488,3,Tower,HALL,Hallway Connector 14 Floor 3,Hallway H01403
HHALL01503,483,443,3,Tower,HALL,Hallway Connector 15 Floor 3,Hallway H01503
HLABS00103,10,323,3,Tower,LABS,Reproductive Endocrine Labs,Reproductive Endocrine Labs
HSERV00103,498,323,3,Tower,SERV,Nursing Room,Nursing Room
HSTAI00103,428,733,3,Tower,STAI,Stairwell 1 Floor 3,Stairwell
WELEV00L03,538,383,3,Tower,ELEV,Elevator L Floor 3,Elevator L3
WELEV00M03,563,748,3,Tower,ELEV,Elevator M Floor 3,Elevator M3
CDEPT002L1,728,302,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
CDEPT003L1,593,302,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
CHALL001L1,480,382,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL005L1,498,742,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL006L1,860,742,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL007L1,860,503,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL014L1,593,382,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
CLABS001L1,713,742,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS002L1,498,548,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CREST001L1,480,477,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
CREST002L1,813,742,L1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
WELEV00LL1,533,382,L1,Tower,ELEV,Elevator L Floor L1,Elevator LL1
WELEV00ML1,568,742,L1,Tower,ELEV,Elevator M Floor L1,Elevator ML1
CHALL005L2,493,738,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
CHALL007L2,478,467,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
CHALL008L2,478,382,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
CHALL009L2,478,307,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
CHALL010L2,860,307,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
WELEV00LL2,533,382,L2,Tower,ELEV,Elevator L Floor L2,Elevator LL2
WELEV00ML2,568,738,L2,Tower,ELEV,Elevator M Floor L2,Elevator ML2
WHALL001L2,493,850,L2,Tower,HALL,Hallway Connector 1 Floor L2,Hallway W01L2
uSTOR0L1,376,318,L1,Tower,STOR,OR Bed Park,ORBP
uSTOR00101,208,389,1,Tower,STOR,West Plaza,West Plaza
uSTOR02903,274,220,3,Tower,STOR,Clean Equipment Storage Pod B,CESB
uSTOR02603,268,548,3,Tower,STOR,Clean Equipment Storage Pod C,CESC
uDIRT00103,308,390,3,Tower,DIRT ,Dirty Equipment Storage,DES
uPATI03103,267,291,3,Tower,PATI,Patient Room Pod B,PRB
uPATI03203,240,289,3,Tower,PATI,Patient Room Pod B,PRB
uPATI03303,211,265,3,Tower,PATI,Patient Room Pod B,PRB
uPATI03403,203,228,3,Tower,PATI,Patient Room Pod B,PRB
uPATI03503,209,197,3,Tower,PATI,Patient Room Pod B,PRB
uPATI03603,234,176,3,Tower,PATI,Patient Room Pod B,PRB
uPATI03703,267,159,3,Tower,PATI,Patient Room Pod B,PRB
uPATI03803,300,165,3,Tower,PATI,Patient Room Pod B,PRB
uPATI03903,332,184,3,Tower,PATI,Patient Room Pod B,PRB
uPATI04003,333,213,3,Tower,PATI,Patient Room Pod B,PRB
uPATI05103,287,487,3,Tower,PATI,Patient Room Pod C,PRC
uPATI05203,237,481,3,Tower,PATI,Patient Room Pod C,PRC
uPATI05303,207,518,3,Tower,PATI,Patient Room Pod C,PRC
uPATI05403,206,546,3,Tower,PATI,Patient Room Pod C,PRC
uPATI05503,213,575,3,Tower,PATI,Patient Room Pod C,PRC
uPATI05603,232,592,3,Tower,PATI,Patient Room Pod C,PRC
uPATI05703,263,608,3,Tower,PATI,Patient Room Pod C,PRC
uPATI05803,305,604,3,Tower,PATI,Patient Room Pod C,PRC
uPATI05903,334,581,3,Tower,PATI,Patient Room Pod C,PRC
uPATI06003,336,551,3,Tower,PATI,Patient Room Pod C,PRC
uHALL01003,448,275,3,Tower,HALL,Bed and Reciner Parking A-B,BRPAB
uHALL02003,448,491,3,Tower,HALL,Bed and Recliner Parking C-D,BRPCD
